station_name,betweenness,avg_weekday_entries_2024,residual
METRO CENTER,0.3291093928980525,15767.152671755724,73.1334767587538
UNION STATION,0.1378865979381443,16750.64503816794,72.73241350583682
L'ENFANT PLAZA,0.5509736540664377,12083.973282442748,71.58707648895603
DUPONT CIRCLE,0.2190721649484535,13117.790076335878,71.30092675674214
FARRAGUT NORTH,0.2345360824742268,11654.2786259542,70.4524218338753
NOMA-GALLAUDET U,0.1232817869415807,12168.702290076337,70.14400836610221
NAVY YARD-BALLPARK,0.1172680412371134,11241.240458015269,69.47964682910742
FARRAGUT WEST,0.1264318442153494,10837.2213740458,69.271242947996
PENTAGON CITY,0.1701030927835051,9599.419847328243,68.62807599000783
COLUMBIA HEIGHTS,0.1086769759450171,10168.339694656488,68.62622825704257
