station_name,betweenness,avg_weekday_entries_2024,residual
CHEVERLY,0.040807560137457,672.9351145038167,46.604326576823205
SPRING HILL,0.1353092783505154,850.2519083969465,49.61546232330632
LANDOVER,0.0206185567010309,1119.3969465648854,49.86525217450373
FOREST GLEN,0.040807560137457,1128.7671755725191,50.61252591427338
MORGAN BOULEVARD,0.0206185567010309,1267.5992366412213,50.82876111405288
DEANWOOD,0.0605670103092783,1286.9541984732823,52.02375000375477
WEST FALLS CHURCH,0.040807560137457,1394.2480916030534,52.24940873077291
EISENHOWER AVE,0.0206185567010309,1609.6870229007634,52.6801899888414
ARLINGTON CEMETERY,0.2187857961053837,1321.969465648855,53.516117878022875
CAPITOL HEIGHTS,0.0605670103092783,1604.2251908396947,53.731409894122486
